nome,date,start,end,citta,provincia
Sagra del cinghiale,30 Maggio 2025 - 02 Novembre 2025,2025-05-30,2025-11-02,Dugenta,BN
Cheese FestiVal di sole,06 Settembre 2025 - 22 Settembre 2025,2025-09-06,2025-09-22,Malé,TN
Festa dell’uva,07 Settembre 2025 - 28 Settembre 2025,2025-09-07,2025-09-28,Gropparello,PC
Festa del porcino mostra mercato,10 Settembre 2025 - 21 Settembre 2025,2025-09-10,2025-09-21,Lariano,RM
Sagra dea sbrisa,12 Settembre 2025 - 23 Settembre 2025,2025-09-12,2025-09-23,Venezia,VE
Sagra della cotoletta mirabellese,12 Settembre 2025 - 28 Settembre 2025,2025-09-12,2025-09-28,Mirabello,MO
Festa dea poenta,12 Settembre 2025 - 28 Settembre 2025,2025-09-12,2025-09-28,Castelminio,TV
Festa dei funghi e dell’ambiente,12 Settembre 2025 - 21 Settembre 2025,2025-09-12,2025-09-21,Budoia,PN
Sagra Poenta e Osei,12 Settembre 2025 - 28 Settembre 2025,2025-09-12,2025-09-28,Pramaggiore Blessaglia,VE
Sagra del Grappolo D’Oro,12 Settembre 2025 - 21 Settembre 2025,2025-09-12,2025-09-21,Potenza Picena,MC
Sagra Levà,12 Settembre 2025 - 21 Settembre 2025,2025-09-12,2025-09-21,Levà,VI
Sagra dello storione e pesce di mare,13 Settembre 2025 - 21 Settembre 2025,2025-09-13,2025-09-21,Casumaro,FE
"Sagra della polenta, funghi porcini e cinghiale",13 Settembre 2025 - 21 Settembre 2025,2025-09-13,2025-09-21,Poggio Alla Malva,FI
Sagra della polenta e dei frutti del sottobosco,14 Settembre 2025 - 05 Ottobre 2025,2025-09-14,2025-10-05,Perticara,RN
Festa dell’uva,17 Settembre 2025 - 21 Settembre 2025,2025-09-17,2025-09-21,Castellarano,RE
Sagra Della Nana,17 Settembre 2025 - 28 Settembre 2025,2025-09-17,2025-09-28,Montagnano,RN
Roma Baccalà,18 Settembre 2025 - 21 Settembre 2025,2025-09-18,2025-09-21,Roma,RM
Festival del bacalà alla vincentina,18 Settembre 2025 - 29 Settembre 2025,2025-09-18,2025-09-29,Sandrigo,VI
Festa del Pistacchio di Raffadali DOP,18 Settembre 2025 - 21 Settembre 2025,2025-09-18,2025-09-21,Raffadali,AG
Sagra del riso del delta del po,18 Settembre 2025 - 21 Settembre 2025,2025-09-18,2025-09-21,Porto Tolle,RO
Sagra del Caciocavallo,18 Settembre 2025 - 21 Settembre 2025,2025-09-18,2025-09-21,Castelfranco In Miscano,BN
Sagra del Risotto,18 Settembre 2025 - 21 Settembre 2025,2025-09-18,2025-09-21,Cergnago,PV
Festa del pane casareccio IGP,18 Settembre 2025 - 21 Settembre 2025,2025-09-18,2025-09-21,Genzano di Roma,RM
Sagra del pesce,19 Settembre 2025 - 21 Settembre 2025,2025-09-19,2025-09-21,Pioppi,SA
Sagra dei funghi,19 Settembre 2025 - 12 Ottobre 2025,2025-09-19,2025-10-12,Cusano Mutri,BN
Sagra del fungo porcino,19 Settembre 2025 - 28 Settembre 2025,2025-09-19,2025-09-28,Castelpagano,BN
Sagra della salamina da sugo al cucchiaio,19 Settembre 2025 - 05 Ottobre 2025,2025-09-19,2025-10-05,Poggio Renatico,FE
Festa del Vino del Monferrato Unesco,19 Settembre 2025 - 28 Settembre 2025,2025-09-19,2025-09-28,Casale Monferrato,AL
Fiera del riso,19 Settembre 2025 - 12 Ottobre 2025,2025-09-19,2025-10-12,Isola della Scala,VR
Festa dei sapori e delle tradizioni,19 Settembre 2025 - 21 Settembre 2025,2025-09-19,2025-09-21,Terrassa Padovana,PD
Festival del puzzone di Moena,19 Settembre 2025 - 21 Settembre 2025,2025-09-19,2025-09-21,Moena,TN
Cous Cous fest,19 Settembre 2025 - 28 Settembre 2025,2025-09-19,2025-09-28,San Vito Lo Capo,TP
A tavola nel Feltrino: il fagiolo,19 Settembre 2025 - 21 Settembre 2025,2025-09-19,2025-09-21,Lamon,BL
"Bra’s – Il festival della salsiccia, del formaggio, del pane e del riso di Bra",19 Settembre 2025 - 22 Settembre 2025,2025-09-19,2025-09-22,Bra,CN
Festa della zucca,19 Settembre 2025 - 28 Settembre 2025,2025-09-19,2025-09-28,Ghizzole,PR
Festa del baccalà,19 Settembre 2025 - 05 Ottobre 2025,2025-09-19,2025-10-05,Robegano,VE
Festa di San Michele,19 Settembre 2025 - 29 Settembre 2025,2025-09-19,2025-09-29,Quarto d'Altino,VE
Sagra della patata,19 Settembre 2025 - 21 Settembre 2025,2025-09-19,2025-09-21,Villastellone,TO
Sagra del Coniglio ripieno e Focaccia di patate,19 Settembre 2025 - 21 Settembre 2025,2025-09-19,2025-09-21,Casamassima,BA
Festa dell’uva Soave,19 Settembre 2025 - 21 Settembre 2025,2025-09-19,2025-09-21,Soave,VR
Festa del pesce,19 Settembre 2025 - 28 Settembre 2025,2025-09-19,2025-09-28,Caorle,VE
Sagra de caplet,19 Settembre 2025 - 22 Settembre 2025,2025-09-19,2025-09-22,Porto Fuori,RA
Festa del riso,19 Settembre 2025 - 23 Settembre 2025,2025-09-19,2025-09-23,Grumolo delle Abbadesse,VI
Sagra della patata di montagna,19 Settembre 2025 - 21 Settembre 2025,2025-09-19,2025-09-21,Muro Lucano,PZ
Festa del fungo e del palio del fungaiolo,19 Settembre 2025 - 21 Settembre 2025,2025-09-19,2025-09-21,San Giorgio Piacentino,PC
Festa della patata americana,19 Settembre 2025 - 28 Settembre 2025,2025-09-19,2025-09-28,Anguillara Veneta,PD
Sagra nazionale del gorgonzola,20 Settembre 2025 - 21 Settembre 2025,2025-09-20,2025-09-21,Gorgonzola,MI
Fiera del fungo di Borgotaro,20 Settembre 2025 - 28 Settembre 2025,2025-09-20,2025-09-28,Borgo Val di Taro,PR
Sagra dell’uva,20 Settembre 2025 - 21 Settembre 2025,2025-09-20,2025-09-21,Galluccio,CE
Sagra dell’ocio,20 Settembre 2025 - 29 Settembre 2025,2025-09-20,2025-09-29,Montepulciano Stazione,SI
Sagra del Bitto,20 Settembre 2025 - 21 Settembre 2025,2025-09-20,2025-09-21,Gerola Alta,SO
Festa del Vino Cotto,20 Settembre 2025 - 21 Settembre 2025,2025-09-20,2025-09-21,Lapedona,FM
Sagra dello stoccafisso,20 Settembre 2025 - 21 Settembre 2025,2025-09-20,2025-09-21,Badalucco,IM
Festa dell’uva e dei vini,20 Settembre 2025 - 21 Settembre 2025,2025-09-20,2025-09-21,Velletri,RM
Fiera della cipolla bionda di Cureggio e Fontaneto,20 Settembre 2025 - 21 Settembre 2025,2025-09-20,2025-09-21,Fontaneto D'agogna,NO
Sagra dell’Uva e del Lambrusco Grasparossa,20 Settembre 2025 - 28 Settembre 2025,2025-09-20,2025-09-28,Castelvetro di Modena,MO
Sagra del Cuzzetiello,20 Settembre 2025 - 21 Settembre 2025,2025-09-20,2025-09-21,Domicella,AV
Sagra della schiacciata,21 Settembre 2025,2025-09-21,2025-09-21,Bivigliano,FI
Sagra del Bombolone,21 Settembre 2025,2025-09-21,2025-09-21,La Rotta,PI
Mostra della razza Cabannina,21 Settembre 2025,2025-09-21,2025-09-21,Rezzoaglio,GE
Sagra del tomino,21 Settembre 2025,2025-09-21,2025-09-21,Rivalta di Torino,TO
Festa del vino e dell’uva,21 Settembre 2025 - 28 Settembre 2025,2025-09-21,2025-09-28,Carema,TO
Sagra della patata di montagna e dei prodotti tipici,21 Settembre 2025,2025-09-21,2025-09-21,Sauze d'Oulx,TO
Festa dell’amaretto di Sassello,21 Settembre 2025,2025-09-21,2025-09-21,Sassello,SV
Sagra dei maccheroni con il coniglio,23 Settembre 2025,2025-09-23,2025-09-23,Agira,EN
Féta di Resèn – Festa dell’uva,24 Settembre 2025 - 28 Settembre 2025,2025-09-24,2025-09-28,Chambave,AO
Sagra della patata,25 Settembre 2025 - 28 Settembre 2025,2025-09-25,2025-09-28,Lazzate,MB
Sagra della cucina piemontese,25 Settembre 2025 - 29 Settembre 2025,2025-09-25,2025-09-29,Volpiano,TO
Sagra della vendemmia,25 Settembre 2025 - 28 Settembre 2025,2025-09-25,2025-09-28,Pedalino,RG
Fiera del Casoncello di Barbariga,25 Settembre 2025 - 28 Settembre 2025,2025-09-25,2025-09-28,Barbariga,BS
Gusti di frontiera,25 Settembre 2025 - 28 Settembre 2025,2025-09-25,2025-09-28,Gorizia,GO
Sagra del miele,26 Settembre 2025 - 28 Settembre 2025,2025-09-26,2025-09-28,Sortino,SR
"Sagra della zampina, del bocconcino e del buon vino",26 Settembre 2025 - 28 Settembre 2025,2025-09-26,2025-09-28,Sammichele di Bari,BA
Festa dell’uva,26 Settembre 2025 - 28 Settembre 2025,2025-09-26,2025-09-28,Verla,BL
