nome,citta,provincia,date,fonte
Sagra del Pinzino e Arrosticino,Ferrara,FE,27 - 25 Settembre 2025,Assosagre
Festa del Patrono di Sant'Agostino,Sant'Agostino di Terre del Reno,FE,27 - 25 Agosto 2025,Assosagre
Sagra del Cotechino,Alberone di Cento,FE,28 - 25 Settembre 2025,Assosagre
Sagra della Bistecca,Badia al Pino,AR,28 - 25 Agosto 2025,Assosagre
Sagra dell'Ortica di Malalbergo,Malalbergo,BO,28 - 25 Settembre 2025,Assosagre
Fiera Nazionale del Peperone di Carmagnola,Carmagnola,TO,29 - 25 Settembre 2025,Assosagre
Festa della Tagliatella,Cavezzo,MO,29 - 25 Settembre 2025,Assosagre
Sagra della Tagliatella Finalese,Finale Emilia,MO,29 - 25 Settembre 2025,Assosagre
Sagra d'Estate,Serravalle di Riva del Po,FE,29 - 25 Settembre 2025,Assosagre
Sagra dell'Anatra,Stellata di Bondeno,FE,29 - 25 Settembre 2025,Assosagre
Festa dal Figh ad Figarol,Ficarolo,RO,30 - 25 Settembre 2025,Assosagre
Sagra del Tartufo di Sant’Agostino,Sant'Agostino di Terre del Reno,FE,3 - 25 Settembre 2025,Assosagre
Festa del Bo',Cervarese Santa Croce,PD,4 - 25 Settembre 2025,Assosagre
Birra e Tartufo,Borgofranco sul Po di Borgocarbonara,MN,5 - 25 Settembre 2025,Assosagre
Sagra del Garganello,Codrignano di Borgo Tossignano,BO,5 - 25 Settembre 2025,Assosagre
Arrosticini nel Chiostro,Ferrara,FE,5 - 25 Settembre 2025,Assosagre
Sagra della Bondiola,Poggio Renatico,FE,5 - 25 Settembre 2025,Assosagre
Fiera di Runzi ''S.S. Nome di Maria'' - Sagra del Somarino,Runzi di Bagnolo di Po,RO,5 - 25 Settembre 2025,Assosagre
Sagra del Tortellone - Festa della Madonna della Cintura,Farneto di San Lazzaro di Savena,BO,6 - 25 Settembre 2025,Assosagre
Nuova Sagra dell'Ovo Casarino,Longara di Calderara di Reno,BO,6 - 25 Settembre 2025,Assosagre
Magnalonga settembrina,Negrar di Valpolicella,VR,7 - 25 Settembre 2025,Assosagre
Sagra di Staggia,Staggia di San Prospero,MO,12 - 25 Settembre 2025,Assosagre
Sagra dello Storione,Casumaro,FE,13 - 25 Settembre 2025,Assosagre
Sagra dal Caplaz,Scortichino di Bondeno,FE,13 - 25 Settembre 2025,Assosagre
Sagra Salamina da Sugo al Cucchiaio di Madonna Boschi,Madonna Boschi di Poggio Renatico,FE,19 - 25 Ottobre 2025,Assosagre
Festa dei Sapori e delle Tradizioni,Terrassa Padovana,PD,19 - 25 Settembre 2025,Assosagre
Festa dell'Equino e delle Tradizioni,Massa Finalese di Finale Emilia,MO,25 - 25 Ottobre 2025,Assosagre
Festa del Cappelletto d'Autunno,Vigarano Pieve,FE,25 - 25 Ottobre 2025,Assosagre
Emilia Food Fest,Carpi,MO,26 - 25 Settembre 2025,Assosagre
Sagra dell'Anguilla,Comacchio,FE,27 - 25 Ottobre 2025,Assosagre
Fuoco alle polveri,Crevalcore,BO,27 - 25 Settembre 2025,Assosagre
Fiera di Santa Sofia,Canaro,RO,30 - 25 Ottobre 2025,Assosagre
Sagra del Tortellone d'Autunno,Bevilacqua di Crevalcore,BO,2 - 25 Ottobre 2025,Assosagre
Palio del Maccherone al Pettine delle Valli Mirandolesi,Mirandola,MO,2 - 25 Ottobre 2025,Assosagre
Fiera Nazionale del Tartufo Bianco di Borgofranco sul Po,Borgofranco sul Po di Borgocarbonara,MN,3 - 25 Ottobre 2025,Assosagre
Sagra del Radicchio di Bosco,Bosco Mesola,FE,3 - 25 Ottobre 2025,Assosagre
Festa della Lumaca d'Autunno,Casumaro di Cento,FE,3 - 25 Ottobre 2025,Assosagre
Festa del Salame,Cremona,CR,3 - 25 Ottobre 2025,Assosagre
Sagra del Bollito,San Pietro in Casale,BO,9 - 25 Ottobre 2025,Assosagre
Gran Galà del Tortél Dols di Colorno,Colorno,PR,11 - 25 Ottobre 2025,Assosagre
Sbrisolona & Co,Mantova,MN,17 - 25 Ottobre 2025,Assosagre
Sciocolà,Modena,MO,30 - 25 Novembre 2025,Assosagre
Ferrara Food Festival,Ferrara,FE,31 - 25 Novembre 2025,Assosagre
Sagra della Zucca e del suo Cappellaccio Ferrarese I.G.P. Sapori d'Autunno,San Carlo di Terre del Reno,FE,31 - 25 Novembre 2025,Assosagre
Tartufesta del Po,Carbonara di Po di Borgocarbonara,MN,1 - 25 Novembre 2025,Assosagre
Novemberfest,Bevilacqua di Crevalcore,BO,7 - 25 Novembre 2025,Assosagre
Sagra del Tartufo,Casumaro,FE,7 - 25 Novembre 2025,Assosagre
Sagra del Tuber Magnatum Pico del Bosco della Panfilia,Sant'Agostino di Terre del Reno,FE,7 - 25 Novembre 2025,Assosagre
Festa del Torrone,Cremona,CR,8 - 25 Novembre 2025,Assosagre
Astro Gastro d'Autunno,Bondeno,FE,14 - 25 Novembre 2025,Assosagre
Sagra delle Rane d'Autunno,Poggio Renatico,FE,14 - 25 Novembre 2025,Assosagre
Sweet Pampepato,Terni,TR,21 - 25 Novembre 2025,Assosagre
6 Giorni del Cotechino,Alberone di Cento,FE,6 - 26 Febbraio 2026,Assosagre
,,,,Sagritaly
